festival,award,year,english_title,current_chinese_title,taiwan_title_candidate,hong_kong_title_candidate,china_title_candidate,confidence,status,notes
venice,Mussolini Cup (Best Foreign Film),1935,Anna Karenina,春殘夢斷,,春殘夢斷,安娜·卡列尼娜,low,pending,Wikidata: Q561208; Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1935,Casta Diva,幻影,,,幻影,low,pending,Wikidata: Q2941333; Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1936,Der Kaiser von Kalifornien,加利福尼亚的皇帝,,,加利福尼亚的皇帝,low,pending,Wikidata: Q481091; Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1936,Lo squadrone bianco,,,,,low,pending,Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1937,Un carnet de bal,,,,,low,pending,Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1937,Scipione l'africano,,,,,low,pending,Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Italian Film),1938,Luciano Serra pilota,空军敢死队,,,空军敢死队,low,pending,Wikidata: Q980025; Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Italian Film),1939,Cardinal Messias,阿布纳·梅西阿斯,,,阿布纳·梅西阿斯,low,pending,Wikidata: Q3202222; Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1940,Der Postmeister,,,,,low,pending,Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1940,L'assedio dell'Alcazar,阿尔卡扎尔之围,,,阿尔卡扎尔之围,low,pending,Wikidata: Q1154167; Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1941,Ohm Krüger,,,,,low,pending,Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1941,La corona di ferro,钢盔,,,钢盔,low,pending,Wikidata: Q536657; Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1942,Der große König,伟大的国王,,,伟大的国王,low,pending,Wikidata: Q480696; Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1942,Bengasi,賓加西,,,賓加西,low,pending,Wikidata: Q2895816; Mussolini Cup for Best Italian Film
venice,Best Film (Journalists Poll),1946,The Southerner,大地之光,,大地之光,大地之光,low,pending,Wikidata: Q1195531; Journalists poll for Best Film (Festival not officially competitive)
venice,Grand International Prize of Venice,1947,Siréna,,,,,low,pending,Grand International Prize of Venice (predecessor to Golden Lion)
venice,Golden Lion of Saint Mark,1949,Manon,情婦瑪儂,,,情婦瑪儂,low,pending,Wikidata: Q937385
